"id","parent_id","domain_id","is_standard","type","subtype","concept_id","code","name","value","est_count","is_group","is_selectable","has_attribute","has_hierarchy","has_ancestor_data","path","synonyms","full_text"
14000000001,0,"DRUG",1,"ATC","",21600001,"A","Alimentary tract and metabolism","",-1,1,0,0,1,1,14000000001,"",""
14000000002,0,"DRUG",1,"ATC","",21600959,"B","Blood and blood forming organs","",-1,1,0,0,1,1,14000000002,"",""
14000000003,0,"DRUG",1,"ATC","",21601237,"C","Cardiovascular system","",-1,1,0,0,1,1,14000000003,"",""
14000000004,0,"DRUG",1,"ATC","",21601907,"D","Dermatologicals","",-1,1,0,0,1,1,14000000004,"",""
14000000005,0,"DRUG",1,"ATC","",21602359,"G","Genito urinary system and sex hormones","",-1,1,0,0,1,1,14000000005,"",""
14000000006,0,"DRUG",1,"ATC","",21602681,"H","Systemic hormonal preparations, excl. sex hormones and insulins","",-1,1,0,0,1,1,14000000006,"",""
14000000007,0,"DRUG",1,"ATC","",21602795,"J","Antiinfectives for systemic use","",-1,1,0,0,1,1,14000000007,"",""
14000000008,0,"DRUG",1,"ATC","",21601386,"L","Antineoplastic and immunomodulating agents","",-1,1,0,0,1,1,14000000008,"",""
14000000009,0,"DRUG",1,"ATC","",21603931,"M","Musculo-skeletal system","",-1,1,0,0,1,1,14000000009,"",""
14000000010,0,"DRUG",1,"ATC","",21604180,"N","Nervous system","",-1,1,0,0,1,1,14000000010,"",""
14000000011,0,"DRUG",1,"ATC","",21604847,"P","Antiparasitic products, insecticides and repellents","",-1,1,0,0,1,1,14000000011,"",""
14000000012,0,"DRUG",1,"ATC","",21605007,"R","Respiratory system","",-1,1,0,0,1,1,14000000012,"",""
14000000013,0,"DRUG",1,"ATC","",21603550,"S","Sensory organs","",-1,1,0,0,1,1,14000000013,"",""
14000000014,0,"DRUG",1,"ATC","",21605212,"V","Various","",-1,1,0,0,1,1,14000000014,"",""
14000000015,0,"DRUG",1,"ATC","","","","Unmapped ingredients","",-1,1,0,0,1,1,14000000015,"","Unmapped ingredients"
