"id","parent_id","domain_id","is_standard","type","subtype","concept_id","code","name","value","est_count","is_group","is_selectable","has_attribute","has_hierarchy","has_ancestor_data","path","synonyms","full_text"
5000000001,-1,"PERSON",1,"AGE","","","","Age","",-1,1,0,0,0,0,"","","Age"
5000000002,-1,"PERSON",1,"DECEASED","","","","Deceased","",2600,0,1,0,0,0,"","","Deceased|[person_rank1]"
5000000029,0,"PERSON",1,"ETHNICITY","",0,"","No matching concept","",306040,0,1,0,0,0,"","","No matching concept|[person_rank1]"
5000000030,0,"PERSON",1,"ETHNICITY","",38003563,"","Hispanic or Latino","",66740,0,1,0,0,0,"","","Hispanic or Latino|[person_rank1]"
5000000005,-1,"PERSON",1,"GENDER","",0,"","Unknown","",11400,0,1,0,0,0,"","","Unknown|[person_rank1]"
5000000004,-1,"PERSON",1,"GENDER","",8507,"","MALE","",138860,0,1,0,0,0,"","","MALE|[person_rank1]"
5000000003,-1,"PERSON",1,"GENDER","",8532,"","FEMALE","",222540,0,1,0,0,0,"","","FEMALE|[person_rank1]"
5000000007,-1,"PERSON",1,"RACE","",0,"","Unknown","",82880,0,1,0,0,0,"","","Unknown|[person_rank1]"
5000000028,-1,"PERSON",1,"RACE","",38003572,"","American Indian","",20,0,1,0,0,0,"","","American Indian|[person_rank1]"
5000000013,-1,"PERSON",1,"RACE","",38003574,"","Asian Indian","",2860,0,1,0,0,0,"","","Asian Indian|[person_rank1]"
5000000026,-1,"PERSON",1,"RACE","",38003578,"","Cambodian","",80,0,1,0,0,0,"","","Cambodian|[person_rank1]"
5000000012,-1,"PERSON",1,"RACE","",38003579,"","Chinese","",3520,0,1,0,0,0,"","","Chinese|[person_rank1]"
5000000015,-1,"PERSON",1,"RACE","",38003581,"","Filipino","",1620,0,1,0,0,0,"","","Filipino|[person_rank1]"
5000000025,-1,"PERSON",1,"RACE","",38003582,"","Hmong","",80,0,1,0,0,0,"","","Hmong|[person_rank1]"
5000000021,-1,"PERSON",1,"RACE","",38003584,"","Japanese","",660,0,1,0,0,0,"","","Japanese|[person_rank1]"
5000000018,-1,"PERSON",1,"RACE","",38003585,"","Korean","",840,0,1,0,0,0,"","","Korean|[person_rank1]"
5000000023,-1,"PERSON",1,"RACE","",38003589,"","Pakistani","",300,0,1,0,0,0,"","","Pakistani|[person_rank1]"
5000000017,-1,"PERSON",1,"RACE","",38003592,"","Vietnamese","",1100,0,1,0,0,0,"","","Vietnamese|[person_rank1]"
5000000011,-1,"PERSON",1,"RACE","",38003598,"","Black","",3540,0,1,0,0,0,"","","Black|[person_rank1]"
5000000008,-1,"PERSON",1,"RACE","",38003599,"","African American","",64880,0,1,0,0,0,"","","African American|[person_rank1]"
5000000024,-1,"PERSON",1,"RACE","",38003602,"","Barbadian","",140,0,1,0,0,0,"","","Barbadian|[person_rank1]"
5000000020,-1,"PERSON",1,"RACE","",38003605,"","Haitian","",700,0,1,0,0,0,"","","Haitian|[person_rank1]"
5000000019,-1,"PERSON",1,"RACE","",38003606,"","Jamaican","",780,0,1,0,0,0,"","","Jamaican|[person_rank1]"
5000000009,-1,"PERSON",1,"RACE","",38003614,"","European","",20600,0,1,0,0,0,"","","European|[person_rank1]"
5000000014,-1,"PERSON",1,"RACE","",38003615,"","Middle Eastern or North African","",2240,0,1,0,0,0,"","","Middle Eastern or North African|[person_rank1]"
5000000016,-1,"PERSON",1,"RACE","",8515,"","Asian","",1520,0,1,0,0,0,"","","Asian|[person_rank1]"
5000000010,-1,"PERSON",1,"RACE","",8516,"","Black or African American","",3560,0,1,0,0,0,"","","Black or African American|[person_rank1]"
5000000006,-1,"PERSON",1,"RACE","",8527,"","White","",180600,0,1,0,0,0,"","","White|[person_rank1]"
5000000022,-1,"PERSON",1,"RACE","",8557,"","Native Hawaiian or Other Pacific Islander","",440,0,1,0,0,0,"","","Native Hawaiian or Other Pacific Islander|[person_rank1]"
5000000027,-1,"PERSON",1,"RACE","",8657,"","American Indian or Alaska Native","",20,0,1,0,0,0,"","","American Indian or Alaska Native|[person_rank1]"
